team,year,player,contract_years_remaining,contract_thru,position,full_name,salary_year,salary_total,year_counter,obs,mean_salary,mean_remaining
"Philadelphia 76ers","2004-05","Webber, Chris",7,"2005-06 (p)","F","Chris Webber",17531250,1.227e+08,4,7,1.62e+07,6.142857
"Philadelphia 76ers","2005-06","Webber, Chris",7,"2007-08","F","Chris Webber",19130000,1.227e+08,5,7,1.62e+07,6.142857
"Detroit Pistons","2006-07","Webber, Chris",1,"2006-07","C-F","Chris Webber",18007313,407313,6,7,1.62e+07,6.142857
"Golden State Warriors","2007-08","Webber, Chris",7,"2007-08","PF","Chris Webber",15856251,1.227e+08,7,7,1.62e+07,6.142857
"Washington Wizards","2001-02","Whitney, Chris",4,"2003-04","G","Chris Whitney",2700000,11200000,1,3,1590000,2
"Orlando Magic","2002-03","Whitney, Chris",1,"2002-03","G","Chris Whitney",1000000,1000000,2,3,1590000,2
"Washington Wizards","2003-04","Whitney, Chris",1,"2003-04","G","Chris Whitney",1070000,1070000,3,3,1590000,2
"Los Angeles Clippers","2002-03","Wilcox, Chris",4,"2004-05 (t)","F","Chris Wilcox",1922520,9010000,1,7,4072234,3.571429
"Los Angeles Clippers","2003-04","Wilcox, Chris",4,"2005-06 (t)","F","Chris Wilcox",2060000,9010000,2,7,4072234,3.571429
"Los Angeles Clippers","2004-05","Wilcox, Chris",4,"2005-06 (t)","C","Chris Wilcox",2210880,9012000,3,7,4072234,3.571429
"Seattle SuperSonics","2005-06","Wilcox, Chris",4,"2005-06","C","Chris Wilcox",2812239,9012000,4,7,4072234,3.571429
"Seattle SuperSonics","2006-07","Wilcox, Chris",3,"2008-09","F","Chris Wilcox",6250000,24000000,5,7,4072234,3.571429
"Seattle SuperSonics","2007-08","Wilcox, Chris",3,"2008-09","PF","Chris Wilcox",6500000,24000000,6,7,4072234,3.571429
"Oklahoma City Thunder","2008-09","Wilcox, Chris",3,"2008-09","C","Chris Wilcox",6750000,24000000,7,7,4072234,3.571429
"Washington Wizards","2001-02","Laettner, Christian",4,"2004-05","F-C","Christian Laettner",4500000,21375000,1,4,4071875,3.25
"Washington Wizards","2002-03","Laettner, Christian",4,"2004-05","F-C","Christian Laettner",5062500,21375000,2,4,4071875,3.25
"Washington Wizards","2003-04","Laettner, Christian",4,"2004-05","F-C","Christian Laettner",5625000,21380000,3,4,4071875,3.25
"Miami Heat","2004-05","Laettner, Christian",1,"2004-05","F-C","Christian Laettner",1100000,1100000,4,4,4071875,3.25
"Houston Rockets","2005-06","Hayes, Chuck",1,"2005-06","F","Chuck Hayes",398762,398762,1,4,1119180,1
"Houston Rockets","2006-07","Hayes, Chuck",1,"2006-07","F","Chuck Hayes",644209,644209,2,4,1119180,1
"Houston Rockets","2007-08","Hayes, Chuck",1,"2007-08 (t)","PF","Chuck Hayes",1500000,1500000,3,4,1119180,1
"Houston Rockets","2008-09","Hayes, Chuck",1,"2007-08 (t)","F","Chuck Hayes",1933750,1500000,4,4,1119180,1
"Detroit Pistons","2001-02","Atkins, Chucky",6,"2005-06","G","Chucky Atkins",3300000,22500000,1,8,3142562,3.75
"Detroit Pistons","2002-03","Atkins, Chucky",6,"2005-06","G","Chucky Atkins",3600000,22500000,2,8,3142562,3.75
"Detroit Pistons","2003-04","Atkins, Chucky",6,"2005-06","G","Chucky Atkins",3900000,22500000,3,8,3142562,3.75
"Los Angeles Lakers","2004-05","Atkins, Chucky",6,"2005-06","G","Chucky Atkins",4200000,22500000,4,8,3142562,3.75
"Memphis Grizzlies","2005-06","Atkins, Chucky",1,"2005-06","G","Chucky Atkins",900498,900498,5,8,3142562,3.75
"Memphis Grizzlies","2006-07","Atkins, Chucky",1,"2006-07","G","Chucky Atkins",3000000,3000000,6,8,3142562,3.75
"Denver Nuggets","2007-08","Atkins, Chucky",2,"2008-09 (t)","PG","Chucky Atkins",3000000,6600000,7,8,3142562,3.75
"Oklahoma City Thunder","2008-09","Atkins, Chucky",2,"2008-09 (t)","G","Chucky Atkins",3240000,6600000,8,8,3142562,3.75
"New York Knicks","2001-02","Weatherspoon, Clarence",5,"2005-06","F","Clarence Weatherspoon",4538000,27230000,1,4,5218800,5
"New York Knicks","2002-03","Weatherspoon, Clarence",5,"2005-06","F","Clarence Weatherspoon",4991800,27230000,2,4,5218800,5
"New York Knicks","2003-04","Weatherspoon, Clarence",5,"2005-06","F","Clarence Weatherspoon",5446000,27230000,3,4,5218800,5
"Houston Rockets","2004-05","Weatherspoon, Clarence",5,"2005-06","F","Clarence Weatherspoon",5899400,27230000,4,4,5218800,5
"Detroit Pistons","2001-02","Robinson, Clifford",4,"2002-03","C-F","Clifford Robinson",7656250,29000000,1,6,5034271,3.166667
"Detroit Pistons","2002-03","Robinson, Clifford",4,"2002-03","C-F","Clifford Robinson",8421875,29000000,2,6,5034271,3.166667
"Golden State Warriors","2003-04","Robinson, Clifford",3,"2004-05","C-F","Clifford Robinson",4740000,15400000,3,6,5034271,3.166667
"New Jersey Nets","2004-05","Robinson, Clifford",3,"2005-06 (t)","C-F","Clifford Robinson",5287500,15400000,4,6,5034271,3.166667
"New Jersey Nets","2005-06","Robinson, Clifford",3,"2005-06 (t)","F-C","Clifford Robinson",2500000,15400000,5,6,5034271,3.166667
"New Jersey Nets","2006-07","Robinson, Clifford",2,"2007-08","F-C","Clifford Robinson",1600000,3500000,6,6,5034271,3.166667
"Los Angeles Lakers","2007-08","Karl, Coby",2,"2008-09","G","Coby Karl",427163,1138680,1,1,427163,2
"Minnesota Timberwolves","2007-08","Brewer, Corey",5,"2011-12 (t)","SF","Corey Brewer",2535720,13144116,1,2,2630820,5
"Minnesota Timberwolves","2008-09","Brewer, Corey",5,"2011-12 (t)","F-G","Corey Brewer",2725920,13144116,2,2,2630820,5
"Los Angeles Clippers","2001-02","Maggette, Corey",4,"2003-04","F-G","Corey Maggette",1448400,6130000,1,8,5679771,5.375
"Los Angeles Clippers","2002-03","Maggette, Corey",4,"2002-03 (t)","F-G","Corey Maggette",2069764,6130000,2,8,5679771,5.375
"Los Angeles Clippers","2003-04","Maggette, Corey",6,"2008-09","F-G","Corey Maggette",5600000,45000000,3,8,5679771,5.375
"Los Angeles Clippers","2004-05","Maggette, Corey",6,"2007-08 (t)","G","Corey Maggette",7000000,45000000,4,8,5679771,5.375
"Los Angeles Clippers","2005-06","Maggette, Corey",6,"2007-08 (t)","F-G","Corey Maggette",6720000,45000000,5,8,5679771,5.375
"Los Angeles Clippers","2006-07","Maggette, Corey",6,"2007-08 (t)","F","Corey Maggette",7000000,45000000,6,8,5679771,5.375
"Los Angeles Clippers","2007-08","Maggette, Corey",6,"2007-08 (t)","SF","Corey Maggette",7000000,45000000,7,8,5679771,5.375
"Golden State Warriors","2008-09","Maggette, Corey",5,"2012-13","F","Corey Maggette",8600000,50000000,8,8,5679771,5.375
"Philadelphia 76ers","2001-02","Blount, Corie",2,"2001-02","F-C","Corie Blount",1452000,3200000,1,3,1484000,1.666667
"Chicago Bulls","2002-03","Blount, Corie",1,"2002-03","F-C","Corie Blount",1400000,1400000,2,3,1484000,1.666667
"Chicago Bulls","2003-04","Blount, Corie",2,"2004-05","F-C","Corie Blount",1600000,3400000,3,3,1484000,1.666667
"Detroit Pistons","2001-02","Williamson, Corliss",6,"2005-06","F","Corliss Williamson",4000000,33000000,1,6,5250000,6
"Detroit Pistons","2002-03","Williamson, Corliss",6,"2006-07","F","Corliss Williamson",4500000,31500000,2,6,5250000,6
"Detroit Pistons","2003-04","Williamson, Corliss",6,"2006-07","F","Corliss Williamson",5000000,31500000,3,6,5250000,6
"Sacramento Kings","2004-05","Williamson, Corliss",6,"2006-07","F","Corliss Williamson",5500000,31500000,4,6,5250000,6
"Sacramento Kings","2005-06","Williamson, Corliss",6,"2006-07","F","Corliss Williamson",6000000,31500000,5,6,5250000,6
"Sacramento Kings","2006-07","Williamson, Corliss",6,"2006-07","F","Corliss Williamson",6500000,31500000,6,6,5250000,6
"Washington Wizards","2001-02","Alexander, Courtney",4,"2003-04","G","Courtney Alexander",1418355,6420000,1,3,1704878,4
"New Orleans Hornets","2002-03","Alexander, Courtney",4,"2002-03 (t)","G","Courtney Alexander",1517280,6420000,2,3,1704878,4
"New Orleans Hornets","2003-04","Alexander, Courtney",4,"2003-04 (t)","G","Courtney Alexander",2179000,6420000,3,3,1704878,4
"Orlando Magic","2008-09","Lee, Courtney",5,"2012-13","G","Courtney Lee",1176240,9240347,1,1,1176240,5
"Indiana Pacers","2007-08","Sims, Courtney",1,"2007-08","C","Courtney Sims",128149,128149,1,2,85001.5,1
"Phoenix Suns","2008-09","Sims, Courtney",1,"2008-09","C","Courtney Sims",41854,41854,2,2,85001.5,1
"Minnesota Timberwolves","2006-07","Smith , Craig",2,"2007-08","F","Craig Smith",412718,1100000,1,3,1200058,2
"Minnesota Timberwolves","2007-08","Smith , Craig",2,"2007-08","PF","Craig Smith",687456,1100000,2,3,1200058,2
"Minnesota Timberwolves","2008-09","Smith , Craig",2,"2009-10","F","Craig Smith",2500000,5000000,3,3,1200058,2
"Utah Jazz","2002-03","Borchardt, Curtis",4,"2004-05 (t)","C","Curtis Borchardt",1113720,5560000,1,3,1197280,4
"Utah Jazz","2003-04","Borchardt, Curtis",4,"2004-05 (t)","C","Curtis Borchardt",1197240,5560000,2,3,1197280,4
"Utah Jazz","2004-05","Borchardt, Curtis",4,"2005-06","C","Curtis Borchardt",1280880,5560000,3,3,1197280,4
"Houston Rockets","2001-02","Mobley, Cuttino",6,"2005-06","G","Cuttino Mobley",4413375,30890000,1,8,6561953,5.5
"Houston Rockets","2002-03","Mobley, Cuttino",6,"2004-05 (p)","G","Cuttino Mobley",4903750,31000000,2,8,6561953,5.5
"Houston Rockets","2003-04","Mobley, Cuttino",6,"2004-05 (p)","G","Cuttino Mobley",5394000,31000000,3,8,6561953,5.5
"Sacramento Kings","2004-05","Mobley, Cuttino",6,"2005-06 (p)","G","Cuttino Mobley",5884500,31000000,4,8,6561953,5.5
"Los Angeles Clippers","2005-06","Mobley, Cuttino",5,"2009-10","G","Cuttino Mobley",7000000,42000000,5,8,6561953,5.5
"Los Angeles Clippers","2006-07","Mobley, Cuttino",5,"2009-10","G","Cuttino Mobley",8125000,42000000,6,8,6561953,5.5
"Los Angeles Clippers","2007-08","Mobley, Cuttino",5,"2009-10","G","Cuttino Mobley",8350000,42000000,7,8,6561953,5.5
"New York Knicks","2008-09","Mobley, Cuttino",5,"2009-10","G","Cuttino Mobley",8425000,42000000,8,8,6561953,5.5
"New Orleans Hornets","2007-08","Augustin, D.J.",1,"2007-08","C","D.J. Augustin",850000,850000,1,2,1529480,3
"Charlotte Bobcats","2008-09","Augustin, D.J.",5,"2012-13","G","D.J. Augustin",2208960,14745926,2,2,1529480,3
"Dallas Mavericks","2004-05","Mbenga, D.J.",2,"2005-06","C","D.J. Mbenga",800000,1680000,1,5,1264105,2.6
"Dallas Mavericks","2005-06","Mbenga, D.J.",2,"2005-06","C","D.J. Mbenga",880000,1680000,2,5,1264105,2.6
"Dallas Mavericks","2006-07","Mbenga, D.J.",3,"2008-09","C","D.J. Mbenga",1628959,5300000,3,5,1264105,2.6
"Golden State Warriors","2007-08","Mbenga, D.J.",3,"2008-09","C","D.J. Mbenga",2130909,5300000,4,5,1264105,2.6
"Los Angeles Lakers","2008-09","Mbenga, D.J.",3,"2008-09","C","D.J. Mbenga",880658,5300000,5,5,1264105,2.6
"Phoenix Suns","2007-08","Strawberry, DJ",2,"2008-09","G","DJ Strawberry",427163,1138680,1,1,427163,2
"Miami Heat","2007-08","Cook, Daequan",5,"2011-12","G","Daequan Cook",1184400,6946484,1,2,1228800,5
"Miami Heat","2008-09","Cook, Daequan",5,"2011-12","G","Daequan Cook",1273200,6946484,2,2,1228800,5
"Memphis Grizzlies","2003-04","Jones, Dahntay",4,"2006-07 (t)","G-F","Dahntay Jones",1063680,5320000,1,6,1144442,3
"Memphis Grizzlies","2004-05","Jones, Dahntay",4,"2006-07 (t)","G-F","Dahntay Jones",1143360,5320000,2,6,1144442,3
"Memphis Grizzlies","2005-06","Jones, Dahntay",4,"2006-07 (t)","G-F","Dahntay Jones",1220000,5320000,3,6,1144442,3
"Memphis Grizzlies","2006-07","Jones, Dahntay",4,"2006-07","G-F","Dahntay Jones",1886113,5320000,4,6,1144442,3
"Sacramento Kings","2007-08","Jones, Dahntay",1,"2007-08","G","Dahntay Jones",626823,626823,5,6,1144442,3
"Denver Nuggets","2008-09","Jones, Dahntay",1,"2007-08","G-F","Dahntay Jones",926678,626823,6,6,1144442,3
"Cleveland Cavaliers","2002-03","Wagner, Dajuan",4,"2004-05 (t)","G","Dajuan Wagner",2298840,10770000,1,3,2471240,4
"Cleveland Cavaliers","2003-04","Wagner, Dajuan",4,"2005-06","G","Dajuan Wagner",2471280,10770000,2,3,2471240,4
"Cleveland Cavaliers","2004-05","Wagner, Dajuan",4,"2005-06 (t)","G","Dajuan Wagner",2643600,10770000,3,3,2471240,4
"Portland Trail Blazers","2001-02","Davis, Dale",7,"2002-03","C-F","Dale Davis",7010000,42000000,1,6,6865792,4
"Portland Trail Blazers","2002-03","Davis, Dale",9,"2004-05","C-F","Dale Davis",8055000,61130000,2,6,6865792,4
"Portland Trail Blazers","2003-04","Davis, Dale",2,"2004-05","C-F","Dale Davis",9061000,19130000,3,6,6865792,4
"Indiana Pacers","2004-05","Davis, Dale",2,"2004-05","C-F","Dale Davis",10068750,19130000,4,6,6865792,4
"Detroit Pistons","2005-06","Davis, Dale",2,"2006-07","C-F","Dale Davis",3500000,7000000,5,6,6865792,4
"Detroit Pistons","2006-07","Davis, Dale",2,"2006-07","C-F","Dale Davis",3500000,7000000,6,6,6865792,4
"Chicago Bulls","2001-02","Bagaric, Dalibor",4,"2003-04","C","Dalibor Bagaric",854640,4160000,1,2,842793.5,4
"Chicago Bulls","2002-03","Bagaric, Dalibor",4,"2003-04 (t)","C","Dalibor Bagaric",830947,4160000,2,2,842793.5,4
"Seattle SuperSonics","2004-05","Wilkins, Damien",1,"2004-05","F","Damien Wilkins",385277,385277,1,5,2317056,4.2
"Seattle SuperSonics","2005-06","Wilkins, Damien",5,"2009-10","G","Damien Wilkins",2500000,15000000,2,5,2317056,4.2
"Seattle SuperSonics","2006-07","Wilkins, Damien",5,"2009-10","G-F","Damien Wilkins",2700000,15000000,3,5,2317056,4.2
"Seattle SuperSonics","2007-08","Wilkins, Damien",5,"2009-10 (p)","SG/SF","Damien Wilkins",2900000,15000000,4,5,2317056,4.2
"Oklahoma City Thunder","2008-09","Wilkins, Damien",5,"2009-10 (p)","G-F","Damien Wilkins",3100000,15000000,5,5,2317056,4.2
"Milwaukee Bucks","2006-07","Markota , Damir",3,"2008-09 (t)","F","Damir Markota",412718,1898000,1,1,412718,3
"Detroit Pistons","2001-02","Jones, Damon",1,"2001-02","G","Damon Jones",565850,565850,1,8,2535908,2.625
"Sacramento Kings","2002-03","Jones, Damon",1,"2002-03","G","Damon Jones",637435,637435,2,8,2535908,2.625
"Milwaukee Bucks","2003-04","Jones, Damon",1,"2003-04","G","Damon Jones",563679,563679,3,8,2535908,2.625
"Miami Heat","2004-05","Jones, Damon",2,"2004-05 (p)","G","Damon Jones",2503000,5100000,4,8,2535908,2.625
"Cleveland Cavaliers","2005-06","Jones, Damon",4,"2008-09","G","Damon Jones",3500000,16100000,5,8,2535908,2.625
"Cleveland Cavaliers","2006-07","Jones, Damon",4,"2008-09","G","Damon Jones",3884678,16100000,6,8,2535908,2.625
"Cleveland Cavaliers","2007-08","Jones, Damon",4,"2008-09","PG","Damon Jones",4172432,16100000,7,8,2535908,2.625
"Milwaukee Bucks","2008-09","Jones, Damon",4,"2008-09","G","Damon Jones",4460186,16100000,8,8,2535908,2.625
"Portland Trail Blazers","2001-02","Stoudamire, Damon",7,"2004-05","G","Damon Stoudamire",12375000,81000000,1,8,8103125,5.5
"Portland Trail Blazers","2002-03","Stoudamire, Damon",7,"2004-05","G","Damon Stoudamire",12375000,81000000,2,8,8103125,5.5
"Portland Trail Blazers","2003-04","Stoudamire, Damon",7,"2004-05","G","Damon Stoudamire",14375000,81000000,3,8,8103125,5.5
"Portland Trail Blazers","2004-05","Stoudamire, Damon",7,"2004-05","G","Damon Stoudamire",12500000,81000000,4,8,8103125,5.5
"Memphis Grizzlies","2005-06","Stoudamire, Damon",4,"2008-09","G","Damon Stoudamire",3750000,17000000,5,8,8103125,5.5
"Memphis Grizzlies","2006-07","Stoudamire, Damon",4,"2008-09","G","Damon Stoudamire",4050000,17000000,6,8,8103125,5.5
"Memphis Grizzlies","2007-08","Stoudamire, Damon",4,"2008-09","PG","Damon Stoudamire",3769281,17000000,7,8,8103125,5.5
"Memphis Grizzlies","2008-09","Stoudamire, Damon",4,"2008-09","G","Damon Stoudamire",1630719,17000000,8,8,8103125,5.5
"Philadelphia 76ers","2001-02","Brown, Damone",2,"2002-03","F","Damone Brown",332817,845252,1,2,485748,1.5
"New Jersey Nets","2003-04","Brown, Damone",1,"2003-04","F","Damone Brown",638679,638679,2,2,485748,1.5
"Atlanta Hawks","2002-03","Dickau, Dan",4,"2004-05 (t)","G","Dan Dickau",776880,4120000,1,6,1400718,3.166667
"Atlanta Hawks","2003-04","Dickau, Dan",4,"2005-06 (t)","G","Dan Dickau",835200,4120000,2,6,1400718,3.166667
"New Orleans Hornets","2004-05","Dickau, Dan",4,"2005-06 (t)","G","Dan Dickau",893400,4120000,3,6,1400718,3.166667
"Boston Celtics","2005-06","Dickau, Dan",3,"2007-08","G","Dan Dickau",2375000,7360000,4,6,1400718,3.166667
"Portland Trail Blazers","2006-07","Dickau, Dan",2,"2007-08","G","Dan Dickau",2753218,5743000,5,6,1400718,3.166667
"Los Angeles Clippers","2007-08","Dickau, Dan",2,"2007-08","PG","Dan Dickau",770610,5743000,6,6,1400718,3.166667
"Milwaukee Bucks","2002-03","Gadzuric, Dan",1,"2002-03","C","Dan Gadzuric",349458,349458,1,7,3373082,4.285714
"Milwaukee Bucks","2003-04","Gadzuric, Dan",2,"2003-04","C","Dan Gadzuric",563679,913137,2,7,3373082,4.285714
"Milwaukee Bucks","2004-05","Gadzuric, Dan",3,"2004-05","C","Dan Gadzuric",695046,1608000,3,7,3373082,4.285714
"Milwaukee Bucks","2005-06","Gadzuric, Dan",6,"2010-11","C","Dan Gadzuric",4750000,36000000,4,7,3373082,4.285714
"Milwaukee Bucks","2006-07","Gadzuric, Dan",6,"2010-11","C","Dan Gadzuric",5252065,36000000,5,7,3373082,4.285714
"Milwaukee Bucks","2007-08","Gadzuric, Dan",6,"2010-11","C","Dan Gadzuric",5751130,36000000,6,7,3373082,4.285714
"Milwaukee Bucks","2008-09","Gadzuric, Dan",6,"2010-11","C","Dan Gadzuric",6250195,36000000,7,7,3373082,4.285714
"Houston Rockets","2001-02","Langhi, Dan",2,"2001-02","F","Dan Langhi",465850,782000,1,2,526642.5,1.5
"Phoenix Suns","2002-03","Langhi, Dan",1,"2002-03","F","Dan Langhi",587435,587435,2,2,526642.5,1.5
"Phoenix Suns","2001-02","Majerle, Dan",1,"2001-02","G-F","Dan Majerle",590850,590850,1,1,590850,1
"Detroit Pistons","2001-02","Barros, Dana",1,"2001-02","G","Dana Barros",1500000,1500000,1,1,1500000,1
"Los Angeles Clippers","2005-06","Ewing, Daniel",3,"2006-07","G","Daniel Ewing",450000,1885000,1,2,557104.5,2.5
"Los Angeles Clippers","2006-07","Ewing, Daniel",2,"2007-08","G","Daniel Ewing",664209,1435000,2,2,557104.5,2.5
"Cleveland Cavaliers","2006-07","Gibson , Daniel",2,"2007-08","G","Daniel Gibson",412718,1100000,1,3,1600058,3
"Cleveland Cavaliers","2007-08","Gibson , Daniel",2,"2007-08","PG","Daniel Gibson",687456,1100000,2,3,1600058,3
"Cleveland Cavaliers","2008-09","Gibson , Daniel",5,"2012-13","G","Daniel Gibson",3700000,20800000,3,3,1600058,3
"Phoenix Suns","2001-02","Santiago, Daniel",1,"2001-02","C","Daniel Santiago",465850,465850,1,3,808176.3,1.333333
"Milwaukee Bucks","2003-04","Santiago, Daniel",1,"2003-04","C","Daniel Santiago",638679,638679,2,3,808176.3,1.333333
"Milwaukee Bucks","2004-05","Santiago, Daniel",2,"2004-05","C","Daniel Santiago",1320000,2500000,3,3,808176.3,1.333333
"New Jersey Nets","2007-08","Gallinari, Danilo",1,"2007-08","F","Danilo Gallinari",4236997,4236997,1,2,3555259,3
"New York Knicks","2008-09","Gallinari, Danilo",5,"2012-13","F","Danilo Gallinari",2873520,19047005,2,2,3555259,3
"San Antonio Spurs","2001-02","Ferry, Danny",2,"2002-03","F","Danny Ferry",1000000,2100000,1,2,2773000,2
"San Antonio Spurs","2002-03","Ferry, Danny",2,"2002-03 (t)","F","Danny Ferry",4546000,9050000,2,2,2773000,2
"Golden State Warriors","2001-02","Fortson, Danny",7,"2006-07","F","Danny Fortson",4441558,38000000,1,6,5624054,7
"Golden State Warriors","2002-03","Fortson, Danny",7,"2004-05 (p)","F","Danny Fortson",5039068,38000000,2,6,5624054,7
"Dallas Mavericks","2003-04","Fortson, Danny",7,"2005-06 (p)","F","Danny Fortson",5428571,38000000,3,6,5624054,7
"Seattle SuperSonics","2004-05","Fortson, Danny",7,"2004-05 (p)","F","Danny Fortson",5818136,38000000,4,6,5624054,7
"Seattle SuperSonics","2005-06","Fortson, Danny",7,"2006-07","F","Danny Fortson",6420000,38000000,5,6,5624054,7
"Seattle SuperSonics","2006-07","Fortson, Danny",7,"2006-07","C-F","Danny Fortson",6596990,38000000,6,6,5624054,7
"Indiana Pacers","2005-06","Granger, Danny",4,"2008-09","F","Danny Granger",1320000,6583000,1,4,1646101,4.25
"Indiana Pacers","2006-07","Granger, Danny",4,"2008-09","F","Danny Granger",1417800,6583000,2,4,1646101,4.25
"Indiana Pacers","2007-08","Granger, Danny",4,"2008-09","SF","Danny Granger",1516800,6583000,3,4,1646101,4.25
"Indiana Pacers","2008-09","Granger, Danny",5,"2012-13","F-G","Danny Granger",2329805,65000000,4,4,1646101,4.25
"Dallas Mavericks","2001-02","Manning, Danny",2,"2002-03","F-C","Danny Manning",1500000,3200000,1,2,1265000,1.5
"Detroit Pistons","2002-03","Manning, Danny",1,"2002-03","F-C","Danny Manning",1030000,1030000,2,2,1265000,1.5
"Sacramento Kings","2003-04","Songaila, Darius",1,"2003-04","F","Darius Songaila",366931,366931,1,6,2665489,3.333333
"Sacramento Kings","2004-05","Songaila, Darius",2,"2005-06 (p)","F","Darius Songaila",1600000,3360000,2,6,2665489,3.333333
"Chicago Bulls","2005-06","Songaila, Darius",2,"2006-07 (p)","F","Darius Songaila",2200000,4500000,3,6,2665489,3.333333
"Washington Wizards","2006-07","Songaila, Darius",5,"2010-11","F","Darius Songaila",3650000,23000000,4,6,2665489,3.333333
"Washington Wizards","2007-08","Songaila, Darius",5,"2010-11","SF","Darius Songaila",3942000,23000000,5,6,2665489,3.333333
"Washington Wizards","2008-09","Songaila, Darius",5,"2010-11","F","Darius Songaila",4234000,23000000,6,6,2665489,3.333333
"San Antonio Spurs","2007-08","Washington Jr, Darius",,"","X","Darius Washington",,,1,1,,
"Detroit Pistons","2003-04","Milicic, Darko",4,"2006-07 (t)","F-C","Darko Milicic",3595800,19820000,1,6,5055844,3.666667
"Detroit Pistons","2004-05","Milicic, Darko",4,"2006-07 (t)","F-C","Darko Milicic",3865440,16815000,2,6,5055844,3.666667
"Orlando Magic","2005-06","Milicic, Darko",4,"2006-07 (t)","F-C","Darko Milicic",4135200,16815000,3,6,5055844,3.666667
"Orlando Magic","2006-07","Milicic, Darko",4,"2006-07","F-C","Darko Milicic",5218622,16815000,4,6,5055844,3.666667
"Memphis Grizzlies","2007-08","Milicic, Darko",3,"2009-10","PF","Darko Milicic",6500000,21000000,5,6,5055844,3.666667
"Memphis Grizzlies","2008-09","Milicic, Darko",3,"2009-10","C-F","Darko Milicic",7020000,21000000,6,6,5055844,3.666667
"Cleveland Cavaliers","2008-09","Jackson, Darnell",2,"2009-10","F","Darnell Jackson",442114,1178534,1,1,442114,2
"Orlando Magic","2001-02","Armstrong, Darrell",5,"2002-03","G","Darrell Armstrong",4130500,18000000,1,7,2385991,2.428571
"Orlando Magic","2002-03","Armstrong, Darrell",5,"2002-03","G","Darrell Armstrong",4010000,18000000,2,7,2385991,2.428571
"New Orleans Hornets","2003-04","Armstrong, Darrell",2,"2004-05","G","Darrell Armstrong",2750000,6000000,3,7,2385991,2.428571
"Dallas Mavericks","2004-05","Armstrong, Darrell",2,"2004-05","G","Darrell Armstrong",2275000,5000000,4,7,2385991,2.428571
"Dallas Mavericks","2005-06","Armstrong, Darrell",1,"2005-06","G","Darrell Armstrong",1138500,1138500,5,7,2385991,2.428571
"Indiana Pacers","2006-07","Armstrong, Darrell",1,"2006-07","G","Darrell Armstrong",1178348,1178348,6,7,2385991,2.428571
"New Jersey Nets","2007-08","Armstrong, Darrell",1,"2007-08","PG","Darrell Armstrong",1219590,1219590,7,7,2385991,2.428571
"Philadelphia 76ers","2007-08","Arthur, Darrell",1,"2007-08","F","Darrell Arthur",427163,427163,1,2,702161.5,3
"Memphis Grizzlies","2008-09","Arthur, Darrell",5,"2012-13","F","Darrell Arthur",977160,8184656,2,2,702161.5,3
"Dallas Mavericks","2001-02","Martin, Darrick",1,"2001-02","G","Darrick Martin",590850,590850,1,4,919490,1
"Toronto Raptors","2005-06","Martin, Darrick",1,"2005-06","G","Darrick Martin",1138500,1138500,2,4,919490,1
"Toronto Raptors","2006-07","Martin, Darrick",1,"2006-07","G","Darrick Martin",1178000,1178000,3,4,919490,1
"Toronto Raptors","2007-08","Martin, Darrick",1,"2007-08","G","Darrick Martin",770610,770610,4,4,919490,1
"Sacramento Kings","2007-08","Watkins, Darryl",1,"2007-08","C","Darryl Watkins",110560,110560,1,1,110560,1
"Milwaukee Bucks","2001-02","Ham, Darvin",3,"2002-03","F-G","Darvin Ham",1760000,5610000,1,4,1051540,1.5
"Atlanta Hawks","2002-03","Ham, Darvin",1,"2002-03","F-G","Darvin Ham",699935,699935,2,4,1051540,1.5
"Detroit Pistons","2003-04","Ham, Darvin",1,"2003-04","F-G","Darvin Ham",813679,813679,3,4,1051540,1.5
"Detroit Pistons","2004-05","Ham, Darvin",1,"2004-05","F-G","Darvin Ham",932546,932546,4,4,1051540,1.5
"Indiana Pacers","2004-05","Harrison, David",4,"2007-08 (t)","C","David Harrison",835560,4430000,1,4,1055419,4
"Indiana Pacers","2005-06","Harrison, David",4,"2007-08 (t)","C","David Harrison",690960,4430000,2,4,1055419,4
"Indiana Pacers","2006-07","Harrison, David",4,"2007-08","C","David Harrison",960840,4430000,3,4,1055419,4
"Indiana Pacers","2007-08","Harrison, David",4,"2007-08","C","David Harrison",1734316,4430000,4,4,1055419,4
"New York Knicks","2005-06","Lee, David",4,"2008-09 (t)","F","David Lee",861360,4566000,1,4,1141508,4
"New York Knicks","2006-07","Lee, David",4,"2008-09 (t)","F","David Lee",926040,4566000,2,4,1141508,4
"New York Knicks","2007-08","Lee, David",4,"2008-09 (t)","SF","David Lee",990600,4566000,3,4,1141508,4
"New York Knicks","2008-09","Lee, David",4,"2008-09 (t)","C-F","David Lee",1788033,4566000,4,4,1141508,4
"Milwaukee Bucks","2006-07","Noel , David",2,"2007-08","F-G","David Noel",412718,1100000,1,1,412718,2
"Miami Heat","2008-09","Padgett, David",1,"2008-09","C","David Padgett",35000,35000,1,1,35000,1
"San Antonio Spurs","2001-02","Robinson, David",2,"2002-03","C","David Robinson",9500000,20000000,1,2,1.00e+07,2
"San Antonio Spurs","2002-03","Robinson, David",2,"2002-03","C","David Robinson",10500000,20000000,2,2,1.00e+07,2
"Charlotte Hornets","2001-02","Wesley, David",9,"2005-06","G","David Wesley",3240000,31400000,1,6,3679167,7.833333
